PID1,PID2,B1,B2,PB,D1,D2,PD,PRODUCT,AVERAGE,DUPLICATE,
MRDC-FF7,LY4P-RFJ,missing,+1846,0.5,missing,+1931,0.5,0.25,0.5,N,
MRDG-7PL,MVC3-R87,+1835,+1835,1.0,missing,missing,0.5,0.5,0.75,N,
KCSZ-SL7,MSHZ-YKZ,A+1681,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
9JND-RXL,9JND-YMG,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
MRD1-F25,KC85-NTQ,missing,A+1744,0.5,missing,missing,0.5,0.25,0.5,Y,
MRDG-PP3,K8YN-W4V,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
9JN9-YXP,KJGV-P7P,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MRD4-T1C,MN7S-2D7,missing,+1846-02-02,0.5,missing,+1946,0.5,0.25,0.5,N,
9JNB-ZCQ,9ND7-MNV,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
9JN9-QNN,9JFY-MXF,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
MRCT-H1N,MRZ4-T8F,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
9JN9-YY1,KG4M-PVN,+1882-05-04,+1882-05-04,1.0,missing,missing,0.5,0.5,0.75,Y,
MRDG-81L,M5DY-PPJ,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
9JNB-ZD2,MTXT-7QD,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
MRCZ-RZG,9QC3-XQH,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
KCSZ-C83,97WG-TGM,A+1751,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MRDG-PP3,MBPL-Q8T,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
9JN9-YXP,KJGV-PS1,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
9JNB-ZD2,9VZ9-LW7,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
MRDG-81L,9H3W-Z5Y,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
MRCZ-RZG,9XVM-JXX,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MRD4-T1C,M25H-BYL,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
9JNB-ZCQ,9ND7-SS4,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MRCT-H1N,MRD7-3T7,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MRDG-PP3,97NS-YJ6,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
9JNB-ZD2,9JJ9-PSP,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
MRCZ-RZG,KJGC-14V,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
KCSZ-C83,LVP9-KRY,A+1751,A+1762,0.0,missing,missing,0.5,0.0,0.25,Y,
9JN9-YXP,9JNS-H4N,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MRCT-H1N,MRZ4-TC2,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
9JNB-ZCQ,M36L-CPV,missing,A+1600,0.5,missing,/+1674,0.5,0.25,0.5,Y,
MRDG-PP3,MCT4-3T1,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MRCZ-RZG,93TW-4B9,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
MRCT-H1N,MR4H-9B4,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
9JN9-YXP,KJ2Y-682,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MRDG-PP3,LVPG-SVW,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MRCT-H1N,MR4H-91H,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
9JN9-YXP,9JN9-GT4,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MRCS-T1C,MRHP-SLM,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MRCS-T1C,MRHP-SLM,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
