PID1,PID2,B1,B2,PB,D1,D2,PD,PRODUCT,AVERAGE,DUPLICATE,
MJLP-X33,KDMB-GHY,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MJKJ-959,MJKJ-9R9,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MJLP-X33,MJW9-76N,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MRDP-PYS,KL3P-QKM,+1875-05-10,+1875-05-10,1.0,missing,missing,0.5,0.5,0.75,N,
KZB1-BQ8,9S3S-PL9,+1800-06-25,missing,0.5,+1870-04-23,missing,0.5,0.25,0.5,Y,
M9QG-NGW,MPHY-ZQX,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
9JNQ-DNC,KNRG-H64,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
LJT8-TS5,MVGL-DKD,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
KCSZ-SL7,MSHZ-YKZ,A+1681,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MJKJ-959,K8R5-84X,missing,A+1620,0.5,missing,missing,0.5,0.25,0.5,N,
MPX6-HX4,MRZG-BDV,missing,+1763,0.5,missing,missing,0.5,0.25,0.5,Y,
KZBY-NDW,M984-VR1,+1836-09-23,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
27J9-QSJ,MVZY-37T,missing,+1841,0.5,missing,missing,0.5,0.25,0.5,N,
MRDK-ZYN,MPFD-9PJ,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
MJLP-X33,M15G-1HM,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
LDB6-SZK,LDB8-LTH,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MJL1-TS6,MNRJ-73Y,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
L75X-LYT,L75X-RRC,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
98GH-ZMN,9JGP-R3S,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MPW8-G9S,MPW3-36H,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
L75N-GZD,L75N-25W,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MJ76-FHJ,MJ7F-FPT,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
LJTW-WR2,LJT5-22C,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
