PID1,PID2,B1,B2,PB,D1,D2,PD,PRODUCT,AVERAGE,DUPLICATE,
MRFD-YCB,MRF4-6J3,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
KCSZ-SL7,MSHZ-YKZ,A+1681,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
L6DV-FF1,L8T7-YFZ,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
9JNR-YWV,9JNY-XGN,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
LJT8-TS5,MVGL-DKD,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
MR9V-3NZ,LZ3W-JTZ,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
98GH-ZMN,9JGP-R3S,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
98G7-4YQ,9JYJ-WJL,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MPW5-ZCM,MPW5-ZDD,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
9891-SGX,L7NN-95Q,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
KZB1-BQ8,9S3S-PL9,+1800-06-25,missing,0.5,+1870-04-23,missing,0.5,0.25,0.5,Y,
LJTN-FRL,LJTN-NM4,missing,missing,0.5,+2012-10,+2012-10,1.0,0.5,0.75,Y,
KCT1-W7H,LB2K-6JF,+1773-12-22,missing,0.5,+1779-09-12,missing,0.5,0.25,0.5,N,
MRDK-ZYN,MPFD-9PJ,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
KLWW-BNX,KLWR-R5K,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
L6DV-FF1,L8T8-YGZ,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
KZBM-81F,K87M-DYJ,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
L6F6-3YY,LJJS-YDZ,missing,+1851,0.5,missing,missing,0.5,0.25,0.5,Y,
9JNN-GCX,M9QR-CMH,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MJ5T-WSD,K86Z-L1M,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
KZBB-FZL,MPB1-PDN,missing,+1706-11-11,0.5,missing,missing,0.5,0.25,0.5,Y,
KCT6-LVM,99ZS-WQQ,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
98GH-ZMN,98GH-DBQ,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
KZBP-MYV,K6MT-2CJ,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MR8G-283,MR8G-SB5,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MR9Q-5DS,K42D-7ZH,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
9JNR-YWV,9DZN-2XG,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
98G7-4YQ,96HH-LFY,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MJ6C-F4H,K83R-3C2,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MPWG-9NG,M226-LRQ,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MRB3-R1J,MRB3-RBG,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
MJ6F-T3V,KH6Q-XJ6,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MJ71-XRG,KZGJ-73V,missing,A+1777,0.5,missing,missing,0.5,0.25,0.5,Y,
MPX1-1NF,MPX1-1KP,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
LJTW-WR2,LJT5-22C,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MR9V-3NZ,KNPP-J91,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MPWP-9XH,M22V-8SY,missing,+1846-09-12,0.5,missing,missing,0.5,0.25,0.5,Y,
9JN9-YY1,KG4M-PVN,+1882-05-04,+1882-05-04,1.0,missing,missing,0.5,0.5,0.75,Y,
MR91-C6W,MYG7-GHQ,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
9891-SGX,L7NN-9LZ,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MPW5-ZCM,MPW5-Z7C,missing,+1207,0.5,missing,missing,0.5,0.25,0.5,Y,
MJ6R-QHB,M6KX-NCL,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
9JNG-H9T,9JNF-J3P,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
L6DV-FF1,L8TJ-BCS,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
KLWW-BNX,M7TS-H4R,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
KZBM-81F,KZ1C-VWH,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
989Z-K2B,L447-7JJ,missing,+1867-07,0.5,missing,+1920,0.5,0.25,0.5,N,
9JNN-GCX,M97Q-ZN1,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MRDR-QZ1,MRD7-MB7,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
